year,tornado_count_mam,tornadoes_reported_mam,total_intensity_mam,mean_intensity_mam,tornado_count_annual,tornadoes_reported_annual,total_intensity_annual,mean_intensity_annual,oni_mam,temp_anomaly_mam,precip_water_mam
1950,99,99,152,1.5353535353535352,206,206,334,1.6213592233009708,-1.2,-0.17,-0.35433333333333333
1951,89,89,111,1.247191011235955,261,261,357,1.367816091954023,0.2,-0.16,-0.5983333333333334
1952,116,116,206,1.7758620689655173,246,246,426,1.7317073170731707,0.3,0.09,-1.1706666666666667
1953,198,198,369,1.8636363636363635,442,442,697,1.5769230769230769,0.7,0.25,0.18833333333333335
1954,291,291,431,1.4810996563573884,570,570,803,1.4087719298245613,-0.4,-0.16,0.0696666666666667
1955,297,297,389,1.3097643097643097,604,604,725,1.2003311258278146,-0.8,-0.2,0.455
1956,202,202,307,1.5198019801980198,518,518,685,1.3223938223938223,-0.5,-0.24,-0.38033333333333336
1957,489,489,610,1.247443762781186,868,868,1139,1.3122119815668203,0.7,0.04,0.6196666666666667
1958,165,165,197,1.1939393939393939,576,576,679,1.1788194444444444,0.9,0.07,-0.3213333333333333
1959,303,303,371,1.2244224422442245,614,614,733,1.1938110749185669,0.3,0.15,-0.549
1960,302,302,421,1.3940397350993377,619,619,782,1.2633279483037156,0.0,-0.11,-1.6193333333333333
1961,352,352,533,1.5142045454545454,721,721,993,1.377253814147018,0.1,0.15,-0.7460000000000001
1962,286,286,365,1.2762237762237763,667,667,734,1.1004497751124438,-0.3,0.05,-1.468333333333333
1963,214,214,342,1.5981308411214954,476,476,623,1.3088235294117647,0.3,-0.03,-0.22499999999999998
1964,336,336,448,1.3333333333333333,719,719,909,1.2642559109874827,-0.3,-0.26,-0.6083333333333333
1965,445,445,655,1.4719101123595506,918,918,1200,1.3071895424836601,0.2,-0.17,-0.111
1966,194,194,245,1.2628865979381443,593,593,664,1.1197301854974704,0.7,-0.12,-0.867
1967,312,312,411,1.3173076923076923,940,940,1090,1.1595744680851063,-0.5,-0.01,-0.1606666666666666
1968,279,279,372,1.3333333333333333,668,668,778,1.1646706586826348,-0.4,-0.05,-0.36566666666666664
1969,229,229,237,1.034934497816594,617,617,691,1.119935170178282,0.8,0.19,-0.9596666666666667
1970,240,240,349,1.4541666666666666,671,671,826,1.2309985096870342,0.2,0.1,-0.31366666666666665
1971,289,289,399,1.3806228373702423,904,904,1162,1.2853982300884956,-0.9,-0.06,-1.788
1972,309,309,379,1.226537216828479,747,747,846,1.1325301204819278,0.4,0.06,-1.296
