Date, NCEP/NCAR R1 Precipitable Water (kg/m^2) 30N-40N;-95E--105E
1948-01-01,   -0.407
1948-02-01,    1.601
1948-03-01,    0.044
1948-04-01,    0.809
1948-05-01,    0.122
1948-06-01,   -0.269
1948-07-01,    0.504
1948-08-01,   -0.448
1948-09-01,   -0.851
1948-10-01,   -1.217
1948-11-01,   -0.293
1948-12-01,    1.269
1949-01-01,    2.125
1949-02-01,    1.141
1949-03-01,    0.091
1949-04-01,    0.074
1949-05-01,    0.195
1949-06-01,    0.730
1949-07-01,    1.379
1949-08-01,   -1.574
1949-09-01,   -0.414
1949-10-01,    1.374
1949-11-01,   -2.069
1949-12-01,    1.912
1950-01-01,    2.629
1950-02-01,    1.238
1950-03-01,   -1.373
1950-04-01,   -0.009
1950-05-01,    0.319
1950-06-01,   -0.169
1950-07-01,   -0.399
1950-08-01,   -1.319
1950-09-01,   -0.092
1950-10-01,    0.025
1950-11-01,   -1.385
1950-12-01,   -0.678
1951-01-01,    0.005
1951-02-01,    1.122
1951-03-01,   -0.451
1951-04-01,   -0.678
1951-05-01,   -0.666
1951-06-01,   -0.009
1951-07-01,    0.300
1951-08-01,    0.789
1951-09-01,    0.097
1951-10-01,    0.434
1951-11-01,   -0.730
1951-12-01,    1.002
1952-01-01,    1.687
1952-02-01,   -0.075
1952-03-01,   -1.294
1952-04-01,   -0.897
1952-05-01,   -1.321
1952-06-01,    0.324
1952-07-01,    0.301
1952-08-01,    0.456
1952-09-01,   -1.929
1952-10-01,   -2.624
1952-11-01,    0.088
1952-12-01,   -0.459
1953-01-01,    0.089
1953-02-01,   -0.070
1953-03-01,    1.526
1953-04-01,   -0.589
1953-05-01,   -0.372
1953-06-01,    0.489
1953-07-01,    0.460
1953-08-01,   -0.007
1953-09-01,   -2.094
1953-10-01,   -0.035
1953-11-01,   -0.934
1953-12-01,   -0.525
1954-01-01,    0.856
1954-02-01,   -0.364
1954-03-01,   -1.056
1954-04-01,    2.329
1954-05-01,   -1.064
1954-06-01,   -0.635
1954-07-01,    1.059
1954-08-01,    0.304
1954-09-01,   -0.702
1954-10-01,    1.272
1954-11-01,   -1.298
1954-12-01,   -0.029
1955-01-01,    0.474
1955-02-01,    0.264
1955-03-01,    0.082
1955-04-01,    0.528
1955-05-01,    0.755
1955-06-01,   -1.620
1955-07-01,    1.208
1955-08-01,    0.877
1955-09-01,    0.581
1955-10-01,   -0.787
1955-11-01,   -1.205
1955-12-01,   -0.280
1956-01-01,   -0.006
1956-02-01,    0.478
1956-03-01,   -1.254
1956-04-01,   -0.874
1956-05-01,    0.987
1956-06-01,    0.183
1956-07-01,   -1.202
1956-08-01,   -1.395
1956-09-01,   -2.599
1956-10-01,   -0.241
1956-11-01,   -1.200
1956-12-01,    1.233
1957-01-01,    1.404
1957-02-01,    1.804
1957-03-01,   -0.787
1957-04-01,    2.205
1957-05-01,    0.441
1957-06-01,    0.141
1957-07-01,    0.421
1957-08-01,   -0.397
1957-09-01,   -1.170
1957-10-01,   -0.292
1957-11-01,    0.809
1957-12-01,   -0.110
1958-01-01,   -0.654
1958-02-01,   -0.583
1958-03-01,   -1.349
1958-04-01,   -0.210
1958-05-01,    0.595
1958-06-01,    0.436
1958-07-01,    0.048
1958-08-01,   -0.698
1958-09-01,    1.671
1958-10-01,    0.162
1958-11-01,    0.574
1958-12-01,   -0.839
1959-01-01,   -0.092
1959-02-01,    0.842
1959-03-01,   -2.390
1959-04-01,   -0.530
1959-05-01,    1.273
1959-06-01,    0.141
1959-07-01,   -0.216
1959-08-01,    0.647
1959-09-01,   -0.102
1959-10-01,    0.220
1959-11-01,   -1.588
1959-12-01,    0.726
1960-01-01,    0.182
1960-02-01,   -1.237
1960-03-01,   -2.025
1960-04-01,   -0.252
1960-05-01,   -2.581
1960-06-01,   -0.915
1960-07-01,   -0.993
1960-08-01,    0.165
1960-09-01,   -0.416
1960-10-01,    0.618
1960-11-01,   -0.025
1960-12-01,    0.014
1961-01-01,   -0.710
1961-02-01,    0.201
1961-03-01,    0.414
1961-04-01,   -1.443
1961-05-01,   -1.209
1961-06-01,   -1.750
1961-07-01,   -1.876
1961-08-01,   -1.986
1961-09-01,   -0.003
1961-10-01,   -0.613
1961-11-01,    0.188
1961-12-01,    0.238
1962-01-01,   -0.319
1962-02-01,    0.452
1962-03-01,   -2.344
1962-04-01,   -0.896
1962-05-01,   -1.165
1962-06-01,   -0.944
1962-07-01,   -1.366
1962-08-01,   -2.215
1962-09-01,    0.300
1962-10-01,    0.702
1962-11-01,   -0.938
1962-12-01,    0.054
1963-01-01,   -0.937
1963-02-01,   -1.414
1963-03-01,   -1.007
1963-04-01,    0.824
1963-05-01,   -0.492
1963-06-01,   -1.064
1963-07-01,   -0.616
1963-08-01,   -1.399
1963-09-01,    0.093
1963-10-01,   -0.150
1963-11-01,   -0.572
1963-12-01,   -2.366
1964-01-01,   -0.777
1964-02-01,   -1.690
1964-03-01,   -1.690
1964-04-01,    0.241
1964-05-01,   -0.376
1964-06-01,   -2.212
1964-07-01,   -1.618
1964-08-01,   -0.881
1964-09-01,   -0.060
1964-10-01,   -1.624
1964-11-01,    1.536
1964-12-01,    0.244
1965-01-01,    0.437
1965-02-01,   -0.312
1965-03-01,   -1.450
1965-04-01,    0.691
1965-05-01,    0.426
1965-06-01,   -1.087
1965-07-01,   -1.378
1965-08-01,   -1.932
1965-09-01,   -0.237
1965-10-01,   -1.222
1965-11-01,    1.295
1965-12-01,    1.602
1966-01-01,   -0.362
1966-02-01,   -0.547
1966-03-01,   -1.229
1966-04-01,    0.148
1966-05-01,   -1.520
1966-06-01,   -2.866
1966-07-01,    0.609
1966-08-01,   -1.150
1966-09-01,   -1.077
1966-10-01,   -1.007
1966-11-01,    0.112
1966-12-01,   -0.242
1967-01-01,   -0.360
1967-02-01,   -1.095
1967-03-01,    0.103
1967-04-01,    1.915
1967-05-01,   -2.500
1967-06-01,   -1.193
1967-07-01,   -2.471
1967-08-01,   -3.222
1967-09-01,   -1.208
1967-10-01,   -1.031
1967-11-01,   -1.030
1967-12-01,    1.138
1968-01-01,    1.328
1968-02-01,   -0.891
1968-03-01,   -0.092
1968-04-01,    0.869
1968-05-01,   -1.874
1968-06-01,   -1.481
1968-07-01,   -2.469
1968-08-01,   -1.415
1968-09-01,   -2.404
1968-10-01,   -0.263
1968-11-01,   -0.704
1968-12-01,   -0.192
1969-01-01,    0.845
1969-02-01,   -0.312
1969-03-01,   -2.512
1969-04-01,    0.287
1969-05-01,   -0.654
1969-06-01,   -2.298
1969-07-01,   -0.577
1969-08-01,   -1.677
1969-09-01,   -0.911
1969-10-01,   -0.016
1969-11-01,   -1.692
1969-12-01,    0.624
1970-01-01,   -0.617
1970-02-01,   -0.211
1970-03-01,   -0.749
1970-04-01,    1.083
1970-05-01,   -1.275
1970-06-01,   -2.411
1970-07-01,   -2.704
1970-08-01,   -0.907
1970-09-01,    0.760
1970-10-01,   -0.535
1970-11-01,   -1.901
1970-12-01,    1.127
1971-01-01,    0.129
1971-02-01,   -0.282
1971-03-01,   -2.150
1971-04-01,   -1.005
1971-05-01,   -2.209
1971-06-01,   -1.837
1971-07-01,   -2.293
1971-08-01,   -2.568
1971-09-01,   -0.688
1971-10-01,    0.423
1971-11-01,   -1.085
1971-12-01,    2.689
1972-01-01,    0.209
1972-02-01,   -0.701
1972-03-01,   -0.766
1972-04-01,   -0.227
1972-05-01,   -2.895
1972-06-01,   -1.862
1972-07-01,   -2.230
1972-08-01,   -1.874
1972-09-01,    0.826
1972-10-01,    0.502
1972-11-01,   -1.550
1972-12-01,    0.680
