year,tornado_count,tornadoes_reported,total_intensity,mean_intensity,oni_mam,global_temp_anomaly
1950,206,206,334,1.6213592233009708,-1.2,-0.12833333333333333
1951,261,261,357,1.367816091954023,0.2,-0.028333333333333332
1952,246,246,426,1.7317073170731707,0.3,0.04416666666666667
1953,442,442,697,1.5769230769230769,0.7,0.10083333333333333
1954,570,570,803,1.4087719298245613,-0.4,-0.09499999999999999
1955,604,604,725,1.2003311258278146,-0.8,-0.12416666666666666
1956,518,518,685,1.3223938223938223,-0.5,-0.1625
1957,868,868,1139,1.3122119815668203,0.7,0.06083333333333333
1958,576,576,679,1.1788194444444444,0.9,0.09249999999999999
1959,614,614,733,1.1938110749185669,0.3,0.07583333333333334
1960,619,619,782,1.2633279483037156,0.0,0.005000000000000002
1961,721,721,993,1.377253814147018,0.1,0.07666666666666667
1962,667,667,734,1.1004497751124438,-0.3,0.055
1963,476,476,623,1.3088235294117647,0.3,0.06666666666666667
1964,719,719,909,1.2642559109874827,-0.3,-0.16666666666666666
1965,918,918,1200,1.3071895424836601,0.2,-0.075
1966,593,593,664,1.1197301854974704,0.7,-0.0325
1967,940,940,1090,1.1595744680851063,-0.5,0.0075
1968,668,668,778,1.1646706586826348,-0.4,-0.0575
1969,617,617,691,1.119935170178282,0.8,0.09999999999999999
1970,671,671,826,1.2309985096870342,0.2,0.05583333333333334
1971,904,904,1162,1.2853982300884956,-0.9,-0.05833333333333333
1972,747,747,846,1.1325301204819278,0.4,0.06083333333333333
1973,1115,1115,1407,1.261883408071749,-0.1,0.19583333333333333
1974,974,974,1332,1.3675564681724846,-1.0,-0.04916666666666667
1975,924,924,912,0.987012987012987,-0.7,0.01
1976,848,848,943,1.1120283018867925,-0.5,-0.051666666666666666
1977,861,861,907,1.0534262485481998,0.2,0.2041666666666667
1978,802,802,652,0.8129675810473815,-0.2,0.10666666666666667
1979,865,865,727,0.8404624277456647,0.3,0.1975
1980,876,876,854,0.9748858447488584,0.4,0.30916666666666665
1981,786,786,723,0.9198473282442748,-0.4,0.35250000000000004
1982,1066,1066,1049,0.9840525328330206,0.5,0.17250000000000001
1983,938,938,867,0.9243070362473348,1.3,0.3458333333333334
1984,925,925,831,0.8983783783783784,-0.4,0.1925
1985,704,704,605,0.859375,-0.8,0.15666666666666668
1986,779,779,606,0.7779204107830552,-0.2,0.22416666666666665
1987,662,662,427,0.6450151057401813,1.0,0.3416666666666666
1988,704,704,563,0.7997159090909091,-0.3,0.40166666666666667
1989,872,872,680,0.7798165137614679,-0.8,0.2833333333333333
1990,1151,1151,935,0.8123370981754996,0.3,0.45083333333333336
1991,1144,1144,669,0.5847902097902098,0.3,0.4175
1992,1312,1312,890,0.6783536585365854,1.3,0.23916666666666667
1993,1183,1183,626,0.5291631445477599,0.7,0.26833333333333337
1994,1094,1094,570,0.5210237659963437,0.3,0.3275
1995,1253,1253,613,0.48922585794094176,0.3,0.47833333333333333
1996,1181,1181,588,0.497883149872989,-0.4,0.3491666666666667
1997,1154,1154,587,0.5086655112651647,0.3,0.48666666666666664
1998,1440,1440,787,0.5465277777777777,1.0,0.6325
1999,1364,1364,809,0.593108504398827,-1.0,0.41
2000,1079,1079,467,0.432808155699722,-0.8,0.41
2001,1232,1232,587,0.476461038961039,-0.3,0.5483333333333333
2002,957,957,468,0.4890282131661442,0.2,0.6208333333333333
2003,1415,1415,705,0.49823321554770317,0.0,0.6275
2004,1842,1842,789,0.42833876221498374,0.2,0.5599999999999999
2005,1267,1267,587,0.4632991318074191,0.4,0.6916666666666668
2006,1142,1142,619,0.542031523642732,-0.4,0.6525
2007,1116,1116,602,0.5394265232974911,-0.3,0.6433333333333333
2008,1738,1738,1048,0.6029919447640967,-1.0,0.5441666666666667
2009,1182,1182,618,0.5228426395939086,-0.3,0.6658333333333334
2010,1315,1315,803,0.6106463878326996,0.4,0.7333333333333334
2011,1777,1777,1423,0.8007878446820484,-0.7,0.6141666666666666
2012,956,956,558,0.5836820083682008,-0.5,0.6541666666666667
2013,939,939,589,0.6272630457933972,-0.3,0.6775000000000001
2014,906,906,565,0.6236203090507726,0.0,0.7533333333333333
2015,1212,1212,630,0.5198019801980198,0.7,0.915
2016,990,960,567,0.590625,0.9,1.03
2017,1473,1409,959,0.680624556422995,0.2,0.9391666666666666
2018,1145,1128,607,0.5381205673758865,-0.5,0.8733333333333334
2019,1565,1377,921,0.6688453159041394,0.7,0.985
2020,1114,1007,690,0.6852035749751738,0.2,1.0191666666666668
2021,1364,1160,760,0.6551724137931034,-0.7,0.8666666666666667
2022,1169,1017,801,0.7876106194690266,-1.1,0.8983333333333333
2023,1361,1092,851,0.7793040293040293,0.2,1.1883333333333332
2024,1873,1616,1261,0.7803217821782178,0.7,1.2841666666666667
